id,name
289,Sliced Fresh Fish Soup with Vegetable
290,Snow White Coconut Cocktail Served in Coconut Cups
292,Soy Sauce Garlic Prawns
293,Spaghetti Aglio Olio Picante Con Il Broccoli
294,Spiced Stuffed Capsicums
295,Spicy Coriander Chicken
296,Spinach and Cheese Quiche
297,Steamed Cabbage Roll with Peanut Sauce
298,Steamed Cassava with Milk and Honey
299,Steamed Dumplings
300,Caramelised Shallots
301,Steamed Pear with Dried Lily Bulbs and Dried Longan
302,Steamed Wholemeal Bread Cupcake
303,Stir-Fried Shimeiji Mushrooms and Sugar Peas with Abalone Sauce
304,Stir-Fried Vegetable and Fruits in Honeydew Bowl
305,Stir-fried Vegetable Medley
306,Stir-fried Vegetables with Braised Firm Beancurd
307,Stuffed Tomato with Garlic Sauce
308,Sweet Corn Chicken Patties
310,Tangy Tomato Chilli Prawns
311,Teriyaki Chicken Sandwich
312,Teriyaki Salmon and Pasta
313,Traditional Teochew Steamed Fish
314,Tuna and Potato Bake
315,Tuna and Potato Patties Makes
316,Vanilla Custard
317,Vegetable Makhni
318,Vegetable Pancake with Cheese
319,Vegetable Stacks
320,Vegetarian Chinese Chicken Salad
321,Vegetarian Fried Brown Rice Vermicelli
322,Vegetarian Wrap
323,Warm Beancurd Salad
324,Water Chestnut and Sweet Corn Dessert
326,Wholemeal Bread Pudding with Raisins
327,Wok-Fried Asparagus with Honshimeiji Mushrooms
328,Wok-fried Broccoli with Assorted Mushrooms
329,Yu Sheng
