prompt,ingredient_keywords,calorie_max,protein_min,fat_max,card_max,ground_truth_names,ground_truth_ids,type
High protein tofu dish,tofu,,10,,,Beancurd With Chilli Bean Sauce;Hokchew Steamed Fish Fillet in Fermented Bean Sauce;Traditional Teochew Steamed Fish,53;106;186,ingredients and nutrition
Low fat salmon meal,salmon,,,10,,Asparagus With Smoked Salmon And Horseradish;Salmon Fillet with Honey Spice Sauce;Yu Sheng,47;156;201,ingredients and nutrition
High protein low carb chicken recipe,chicken,,25,,15,Gochujang Drumlets;Indian Stir Fried Chicken and Spring Onion;Jamaican Jerk Chicken,100;109;113,ingredients and nutrition
Low fat yogurt banana breakfast,yogurt;banana,,,10,,Strawberry Cucumber Boost Smoothie,8,ingredients and nutrition
Prawns and garlic high protein dish,prawns;garlic,,20,,,Char Kway Teow;Nonya Curry-Infused Patties,2;134,ingredients and nutrition
Chickpeas and spinach under 10g fat,chickpeas;spinach,,,10,,"Avocado, Tofu and Chickpea Salad",3,ingredients and nutrition
High protein egg meal,egg,,20,,,Char Kway Teow;Cauliflower Pizza;Fried Kway-Teow in Creamy Foo Yong Sauce;Fruity Seafood Fried Rice;Nonya Curry-Infused Patties;Spinach and Cheese Quiche,2;12;93;97;134;170,ingredients and nutrition
What low calorie desert can I make with mango? ,mango,100,,,,Mango Tofu Pudding;Poached Chicken Sandwich with Mango Mayonnaise,121;144,ingredients
Low calorie chicken dish,chicken,100,,,,Egg Omelette Wrap;Aromatic Chicken Fried Rice with Delight in a Leaf;Chicken and Edamame Pasta with Pesto Sauce;Chicken Burger with Rainbow Salad;Chicken Essence with Mushroom;Miracle Noodle Shredded Chicken Salad;Oat-Crusted Chicken;Rolled Oats Chicken Congee with Mushrooms;Thai Sesame Chicken and Broccoli Brown Rice;Balinese Steamed Chicken Rolls;Bamboo Pith And Tofu Parcels;Beef and Brown Rice Spicy Soup;Braised Mee Sua With Shredded Chicken;Brown Chicken Rice;Brown Rice Chicken Congee;Creamy Mushroom Sauce;Brussel Sprout Ingots With Minced Chicken Patties;Chicken Herb Roll with Pumpkin Puree;Chicken Oat Balls with Macaroni Soup;Chicken with Stewed Tomatoes;Chicken Yakiudon;Chilli Chicken Pasta;Chinese-Style Carrot Cake with Chinese Sausage;Curry Chicken;Daylily Flowers In Tanghoon Soup;Eight Treasure Pilaf;Fried Kway-Teow in Creamy Foo Yong Sauce;Gochujang Drumlets;Grilled Chicken with Mushroom Salsa;Grilled Rosemary Lemon Chicken;Grilled Teriyaki Chicken;Indian Stir Fried Chicken and Spring Onion;Indonesia Croque;Italian Style Chicken Porridge;Jamaican Jerk Chicken;Japanese Curry with Sweet Potatoes;Mini Speedy Pizzas;Mixed Rice Braised Cabbage Rolls;Pearl Barley Risotto;Poached Chicken Sandwich with Mango Mayonnaise;Prosperity Noodles;Savoury Soup with Glutinous Rice Balls;Sliced Fish Bee Hoon Soup;Sliced Fresh Fish Soup with Vegetable;Spicy Coriander Chicken;Steamed Dumplings;Sweet Corn Chicken Patties;Tangy Tomato Chilli Prawns;Teriyaki Chicken Sandwich;Vegetarian Chinese Chicken Salad,16;22;24;25;26;31;32;36;40;49;50;54;62;64;65;66;68;71;72;73;74;76;77;83;84;87;93;100;101;103;104;109;110;112;113;114;127;129;141;144;146;159;163;164;169;173;182;183;184;193,ingredients and nutrition
Healthy low calorie noodle dish,noodle,400,,,,Char Kway Teow;Longevity Soba Lou Hei;Easy and Healthy Soba Noodles;Miracle Noodle Shredded Chicken Salad;Chicken Yakiudon;Indonesian Fried Noodles;Mee Goreng;Prosperity Noodles,2;6;28;31;74;111;123;146,ingredients and nutrition
